,scenario,run,trg_risk
0,0_to_1,0,0.6111
1,0_to_1,1,0.6159
2,0_to_1,2,0.6097
3,1_to_2,0,0.7370
4,1_to_2,1,0.7108
5,1_to_2,2,0.7107
6,3_to_1,0,0.6043
7,3_to_1,1,0.6051
8,3_to_1,2,0.6056
9,1_to_0,0,0.7659
10,1_to_0,1,0.6836
11,1_to_0,2,0.7630
12,2_to_3,0,0.6231
13,2_to_3,1,0.6208
14,2_to_3,2,0.6315
15,mean,-,0.6599
16,std,-,0.0616
