,scenario,run,trg_risk
0,2_to_11,0,0.0191
1,2_to_11,1,0.1967
2,2_to_11,2,0.0126
3,6_to_23,0,0.5501
4,6_to_23,1,0.3177
5,6_to_23,2,0.4239
6,7_to_13,0,0.0842
7,7_to_13,1,0.0922
8,7_to_13,2,0.1109
9,9_to_18,0,0.7111
10,9_to_18,1,1.0269
11,9_to_18,2,0.7767
12,12_to_16,0,4.2655
13,12_to_16,1,3.8469
14,12_to_16,2,4.7100
15,mean,-,1.1430
16,std,-,1.6561
