,scenario,run,trg_risk
0,0_to_11,0,4.0099
1,0_to_11,1,3.5957
2,0_to_11,2,3.7089
3,12_to_5,0,1.3470
4,12_to_5,1,1.1421
5,12_to_5,2,1.0203
6,7_to_18,0,1.1425
7,7_to_18,1,1.1540
8,7_to_18,2,1.1657
9,16_to_1,0,1.6205
10,16_to_1,1,1.2725
11,16_to_1,2,1.4116
12,9_to_14,0,0.6850
13,9_to_14,1,0.6725
14,9_to_14,2,0.7266
15,mean,-,1.6450
16,std,-,1.1344
